1.434,-5.517251,4.690531,5.275576,8.959511,-5.869,4.339,6.429,9.755
1.454,-5.191827,4.609175,4.112066,8.068993,-5.629,4.484,5.539,9.115
1.473,-5.813961,4.231109,2.848057,7.734071,-5.627,4.496,4.557,8.583
1.492,-6.029315,4.489533,3.719045,8.386885,-5.638,4.505,3.989,8.287
1.511,-6.130412,4.211966,6.836294,10.102352,-5.791,4.385,4.379,8.573
1.53,-6.738189,3.584448,8.401798,11.350845,-6.178,4.129,5.451,9.394
1.55,-7.168897,4.609175,7.353742,11.25678,-6.517,4.224,6.578,10.274
1.569,-6.412765,4.75753,6.549156,10.327104,-6.613,4.291,7.285,10.759
1.588,-5.55075,3.661019,6.305088,9.163406,-6.468,4.153,7.152,10.525
1.608,-5.900103,3.503092,6.826723,9.679205,-6.258,4.133,6.759,10.107
1.626,-6.652047,4.168895,7.219146,10.665153,-6.129,4.023,6.725,9.959
1.646,-7.001399,3.938586,8.315657,11.562101,-6.276,3.818,7.167,10.267
1.664,-6.326623,3.287738,10.585249,12.762557,-6.47,3.725,8.237,11.167
1.685,-6.043672,2.813361,10.398609,12.352005,-6.506,3.552,9.13,11.835
1.703,-6.014958,3.038885,8.49811,10.845848,-6.347,3.27,9.449,11.881
1.722,-6.422336,3.555734,6.228518,9.627257,-6.202,3.174,8.928,11.397
1.742,-5.804389,3.244668,5.78764,8.815644,-6.071,3.163,7.728,10.41
1.76,-4.928018,2.39701,7.435098,9.236434,-5.792,3.059,6.987,9.631
1.779,-4.856234,1.515853,9.201599,10.514287,-5.503,2.678,7.163,9.548
1.798,-5.641677,1.893919,9.42174,11.143816,-5.308,2.263,7.962,9.928
1.818,-6.331409,2.808576,7.59781,10.281126,-5.439,2.154,8.414,10.294
1.838,-6.0676,3.000001,5.782854,8.902651,-5.724,2.305,8.001,10.21
1.859,-6.60419,3.081956,6.012565,9.448001,-6.161,2.696,7.204,9.944
1.875,-5.297111,2.143371,8.589037,10.316248,-6.075,2.758,6.996,9.737
1.895,-6.15434,1.942374,9.766904,11.706456,-6.031,2.542,7.538,10.093
1.914,-6.384051,2.21037,9.613763,11.750161,-6.11,2.345,8.496,10.805
1.932,-6.728617,2.574079,8.459825,11.111652,-6.141,2.218,9.107,11.221
1.952,-6.288338,2.358725,7.856235,10.335725,-6.389,2.271,8.924,11.226
1.971,-6.144769,1.99023,7.535597,9.92494,-6.386,2.283,8.366,10.781
1.991,-5.723033,1.649851,8.243873,10.170376,-6.221,2.143,8.024,10.386
2.009,-6.048458,1.865205,8.425727,10.538297,-6.051,1.966,8.015,10.242
2.028,-6.556334,2.196013,8.196015,10.722996,-6.118,1.925,8.1,10.339
2.047,-6.699903,2.148157,8.306086,10.885511,-6.257,1.965,8.293,10.579
2.067,-6.551548,1.956731,8.449655,10.869602,-6.464,2.042,8.344,10.754
2.086,-6.522834,1.836491,8.148159,10.597762,-6.583,2.034,8.275,10.769
2.105,-6.470192,1.86042,7.540382,10.108507,-6.561,1.95,8.111,10.615
2.125,-6.508478,1.898705,7.022934,9.761505,-6.513,1.888,7.79,10.334
2.144,-6.412765,1.783849,6.946364,9.620688,-6.479,1.845,7.414,10.022
